id;alternative_id;criteria_id;value;created_at;updated_at
50;9;2;10;03-06-2023  19:00:30;03-06-2023  19:00:30
51;9;3;15;03-06-2023  19:00:30;03-06-2023  19:00:30
52;9;4;4;03-06-2023  19:00:30;03-06-2023  19:00:30
53;9;5;5;03-06-2023  19:00:30;03-06-2023  19:00:30
54;9;6;200000;03-06-2023  19:00:30;03-06-2023  19:00:30
55;10;1;3;03-06-2023  19:00:30;03-06-2023  19:00:30
56;10;2;10;03-06-2023  19:00:30;03-06-2023  19:00:30
57;10;3;15;03-06-2023  19:00:30;03-06-2023  19:00:30
58;10;4;6;03-06-2023  19:00:30;03-06-2023  19:00:30
59;10;5;3;03-06-2023  19:00:30;03-06-2023  19:00:30
60;10;6;50000;03-06-2023  19:00:30;03-06-2023  19:00:30
61;11;1;5;03-06-2023  19:00:30;03-06-2023  19:00:30
62;11;2;10;03-06-2023  19:00:30;03-06-2023  19:00:30
63;11;3;15;03-06-2023  19:00:30;03-06-2023  19:00:30
64;11;4;10;03-06-2023  19:00:30;03-06-2023  19:00:30
65;11;5;7;03-06-2023  19:00:30;03-06-2023  19:00:30
66;11;6;300000;03-06-2023  19:00:30;03-06-2023  19:00:30
67;12;1;4;03-06-2023  19:00:30;03-06-2023  19:00:30
68;12;2;10;03-06-2023  19:00:30;03-06-2023  19:00:30
69;12;3;15;03-06-2023  19:00:30;03-06-2023  19:00:30
70;12;4;8;03-06-2023  19:00:30;03-06-2023  19:00:30
71;12;5;7;03-06-2023  19:00:30;03-06-2023  19:00:30
72;12;6;50000;03-06-2023  19:00:30;03-06-2023  19:00:30
73;13;1;4;03-06-2023  19:00:30;03-06-2023  19:00:30
74;13;2;10;03-06-2023  19:00:30;03-06-2023  19:00:30
75;13;3;15;03-06-2023  19:00:30;03-06-2023  19:00:30
76;13;4;8;03-06-2023  19:00:30;03-06-2023  19:00:30
77;13;5;7;03-06-2023  19:00:30;03-06-2023  19:00:30
78;13;6;50000;03-06-2023  19:00:30;03-06-2023  19:00:30
79;14;1;3;03-06-2023  19:00:30;03-06-2023  19:00:30
80;14;2;1;03-06-2023  19:00:30;03-06-2023  19:00:30
81;14;3;9;03-06-2023  19:00:30;03-06-2023  19:00:30
82;14;4;6;03-06-2023  19:00:30;03-06-2023  19:00:30
83;14;5;5;03-06-2023  19:00:30;03-06-2023  19:00:30
84;14;6;100000;03-06-2023  19:00:30;03-06-2023  19:00:30
85;15;1;5;03-06-2023  19:00:30;03-06-2023  19:00:30
86;15;2;15;03-06-2023  19:00:30;03-06-2023  19:00:30
87;15;3;15;03-06-2023  19:00:30;03-06-2023  19:00:30
88;15;4;6;03-06-2023  19:00:30;03-06-2023  19:00:30
89;15;5;7;03-06-2023  19:00:30;03-06-2023  19:00:30
90;15;6;100000;03-06-2023  19:00:30;03-06-2023  19:00:30
91;16;1;4;03-06-2023  19:00:30;03-06-2023  19:00:30
92;16;2;5;03-06-2023  19:00:30;03-06-2023  19:00:30
93;16;3;12;03-06-2023  19:00:30;03-06-2023  19:00:30
94;16;4;6;03-06-2023  19:00:30;03-06-2023  19:00:30
95;16;5;7;03-06-2023  19:00:30;03-06-2023  19:00:30
96;16;6;200000;03-06-2023  19:00:30;03-06-2023  19:00:30
97;17;1;4;03-06-2023  19:00:30;03-06-2023  19:00:30
98;17;2;10;03-06-2023  19:00:30;03-06-2023  19:00:30
99;17;3;12;03-06-2023  19:00:30;03-06-2023  19:00:30
100;17;4;8;03-06-2023  19:00:30;03-06-2023  19:00:30
101;17;5;9;03-06-2023  19:00:30;03-06-2023  19:00:30
102;17;6;50000;03-06-2023  19:00:30;03-06-2023  19:00:30
103;18;1;4;03-06-2023  19:00:30;03-06-2023  19:00:30
104;18;2;5;03-06-2023  19:00:30;03-06-2023  19:00:30
105;18;3;12;03-06-2023  19:00:30;03-06-2023  19:00:30
106;18;4;6;03-06-2023  19:00:30;03-06-2023  19:00:30
107;18;5;7;03-06-2023  19:00:30;03-06-2023  19:00:30
108;18;6;200000;03-06-2023  19:00:30;03-06-2023  19:00:30
109;19;1;4;03-06-2023  19:00:30;03-06-2023  19:00:30
110;19;2;5;03-06-2023  19:00:30;03-06-2023  19:00:30
111;19;3;3;03-06-2023  19:00:30;03-06-2023  19:00:30
112;19;4;8;03-06-2023  19:00:30;03-06-2023  19:00:30
113;19;5;9;03-06-2023  19:00:30;03-06-2023  19:00:30
114;19;6;100000;03-06-2023  19:00:30;03-06-2023  19:00:30
115;20;1;2;03-06-2023  19:00:30;03-06-2023  19:00:30
116;20;2;1;03-06-2023  19:00:30;03-06-2023  19:00:30
117;20;3;3;03-06-2023  19:00:30;03-06-2023  19:00:30
118;20;4;8;03-06-2023  19:00:30;03-06-2023  19:00:30
119;20;5;5;03-06-2023  19:00:30;03-06-2023  19:00:30
120;20;6;100000;03-06-2023  19:00:30;03-06-2023  19:00:30
121;21;1;4;03-06-2023  19:00:30;03-06-2023  19:00:30
122;21;2;5;03-06-2023  19:00:30;03-06-2023  19:00:30
123;21;3;12;03-06-2023  19:00:30;03-06-2023  19:00:30
124;21;4;8;03-06-2023  19:00:30;03-06-2023  19:00:30
125;21;5;9;03-06-2023  19:00:30;03-06-2023  19:00:30
126;21;6;200000;03-06-2023  19:00:30;03-06-2023  19:00:30
127;22;1;4;03-06-2023  19:00:30;03-06-2023  19:00:30
128;22;2;5;03-06-2023  19:00:30;03-06-2023  19:00:30
129;22;3;12;03-06-2023  19:00:30;03-06-2023  19:00:30
130;22;4;4;03-06-2023  19:00:30;03-06-2023  19:00:30
131;22;5;7;03-06-2023  19:00:30;03-06-2023  19:00:30
132;22;6;200000;03-06-2023  19:00:30;03-06-2023  19:00:30
133;23;1;4;03-06-2023  19:00:30;03-06-2023  19:00:30
134;23;2;5;03-06-2023  19:00:30;03-06-2023  19:00:30
135;23;3;12;03-06-2023  19:00:30;03-06-2023  19:00:30
136;23;4;4;03-06-2023  19:00:30;03-06-2023  19:00:30
137;23;5;9;03-06-2023  19:00:30;03-06-2023  19:00:30
138;23;6;100000;03-06-2023  19:00:30;03-06-2023  19:00:30
139;24;1;5;03-06-2023  19:00:30;03-06-2023  19:00:30
140;24;2;10;03-06-2023  19:00:30;03-06-2023  19:00:30
141;24;3;9;03-06-2023  19:00:30;03-06-2023  19:00:30
142;24;4;6;03-06-2023  19:00:30;03-06-2023  19:00:30
143;24;5;9;03-06-2023  19:00:30;03-06-2023  19:00:30
144;24;6;100000;03-06-2023  19:00:30;03-06-2023  19:00:30
145;25;1;4;03-06-2023  19:00:30;03-06-2023  19:00:30
146;25;2;5;03-06-2023  19:00:30;03-06-2023  19:00:30
147;25;3;12;03-06-2023  19:00:30;03-06-2023  19:00:30
148;25;4;4;03-06-2023  19:00:30;03-06-2023  19:00:30
149;25;5;9;03-06-2023  19:00:30;03-06-2023  19:00:30
150;25;6;100000;03-06-2023  19:00:30;03-06-2023  19:00:30
151;26;1;3;03-06-2023  19:00:30;03-06-2023  19:00:30
152;26;2;3;03-06-2023  19:00:30;03-06-2023  19:00:30
153;26;3;9;03-06-2023  19:00:30;03-06-2023  19:00:30
154;26;4;4;03-06-2023  19:00:30;03-06-2023  19:00:30
155;26;5;7;03-06-2023  19:00:30;03-06-2023  19:00:30
156;26;6;100000;03-06-2023  19:00:30;03-06-2023  19:00:30
157;27;1;4;03-06-2023  19:00:30;03-06-2023  19:00:30
158;27;2;5;03-06-2023  19:00:30;03-06-2023  19:00:30
159;27;3;9;03-06-2023  19:00:30;03-06-2023  19:00:30
160;27;4;4;03-06-2023  19:00:30;03-06-2023  19:00:30
161;27;5;7;03-06-2023  19:00:30;03-06-2023  19:00:30
162;27;6;100000;03-06-2023  19:00:30;03-06-2023  19:00:30
163;28;1;4;03-06-2023  19:00:30;03-06-2023  19:00:30
164;28;2;1;03-06-2023  19:00:30;03-06-2023  19:00:30
165;28;3;3;03-06-2023  19:00:30;03-06-2023  19:00:30
166;28;4;4;03-06-2023  19:00:30;03-06-2023  19:00:30
167;28;5;9;03-06-2023  19:00:30;03-06-2023  19:00:30
168;28;6;300000;03-06-2023  19:00:30;03-06-2023  19:00:30
169;29;1;4;03-06-2023  19:00:30;03-06-2023  19:00:30
170;29;2;5;03-06-2023  19:00:30;03-06-2023  19:00:30
171;29;3;12;03-06-2023  19:00:30;03-06-2023  19:00:30
172;29;4;4;03-06-2023  19:00:30;03-06-2023  19:00:30
173;29;5;9;03-06-2023  19:00:30;03-06-2023  19:00:30
174;29;6;300000;03-06-2023  19:00:30;03-06-2023  19:00:30
175;30;1;3;03-06-2023  19:00:30;03-06-2023  19:00:30
176;30;2;5;03-06-2023  19:00:30;03-06-2023  19:00:30
177;30;3;9;03-06-2023  19:00:30;03-06-2023  19:00:30
178;30;4;6;03-06-2023  19:00:30;03-06-2023  19:00:30
179;30;5;7;03-06-2023  19:00:30;03-06-2023  19:00:30
180;30;6;100000;03-06-2023  19:00:30;03-06-2023  19:00:30
